date,id_bike,trip_time,distance,max_speed,velocity,odo,ride_time
2021-06-10,1,1.29333333333333,24.68,58.3,19.0824742268042,4858.51,268.373055555555
2021-06-13,2,1.44055555555556,28.4,57.2,19.7146162745854,400.5,22.0963888888889
2021-06-14,2,0.566666666666667,9.88,41.2,17.4352941176471,410.38,22.6630555555556
2021-06-15,1,1,21.22,32.6,21.22,4879.73,269.373055555555
2021-06-16,1,1,22.16,33.8,22.16,4901.89,270.373055555555
2021-06-18,1,1,22.77,39.5,22.77,4924.66,271.373055555555
2021-06-19,2,2.53361111111111,48.32,50.6,19.0715930270804,458.7,25.1966666666667
2021-06-28,2,0.949166666666667,16.27,41.9,17.1413520632133,474.97,26.1458333333333
2021-07-01,1,1,22.87,34.3,22.87,4947.53,272.373055555555
2021-07-02,2,0.761666666666667,14.34,41.2,18.8271334792122,489.31,26.9075
2021-07-06,2,0.641111111111111,10.55,53.9,16.4558058925477,499.86,27.5486111111111
2021-07-07,1,1.29416666666667,35.54,70.6,27.4616870573084,4983.07,273.667222222222
2021-07-08,1,0.700555555555556,13.98,49.6,19.9555908009516,4997.05,274.367777777778
2021-07-10,1,1.29333333333333,24.68,58.3,19.0824742268042,5021.73,275.661111111111
2021-07-13,2,1.44055555555556,28.4,57.2,19.7146162745854,528.26,28.9891666666667
2021-07-14,2,0.566666666666667,9.88,41.2,17.4352941176471,538.14,29.5558333333333
2021-07-15,1,1,21.22,32.6,21.22,5042.95,276.661111111111
2021-07-16,1,1,22.16,33.8,22.16,5065.11,277.661111111111
2021-07-18,1,1,22.77,39.5,22.77,5087.88,278.661111111111
2021-07-19,2,2.53361111111111,48.32,50.6,19.0715930270804,586.46,32.0894444444445
2021-07-28,2,0.949166666666667,16.27,41.9,17.1413520632133,602.73,33.0386111111111
2021-08-03,2,2.7075,43.63,66.9,16.1144967682364,646.36,35.7461111111111
2021-08-06,2,0.743333333333333,14.7,45.5,19.7757847533632,661.06,36.4894444444445
2021-08-07,2,0.679166666666667,13.41,52.8,19.7447852760736,674.47,37.1686111111111
2021-08-08,1,1,22.24,41,22.24,5110.12,279.661111111111
2021-08-09,2,0.797777777777778,16.73,41,20.9707520891365,691.2,37.9663888888889
2021-08-10,2,0.987222222222222,17.96,54.6,18.1924592009004,709.16,38.9536111111111
2021-08-14,2,0.299166666666667,5.27,44.7,17.6155988857939,714.43,39.2527777777778
2021-08-15,1,1.00083333333333,23.41,38,23.390507910075,5133.53,280.661944444444
2021-08-16,1,0.999722222222222,23.69,40.7,23.6965823839956,5157.22,281.661666666667
2021-08-17,2,1.2,21.95,45.1,18.2916666666667,736.38,40.4527777777778
2021-08-20,2,1.28083333333333,26.06,54.3,20.3461288223813,762.44,41.7336111111111
2021-08-21,1,2.26027777777778,39.73,63.4,17.5774855597886,5196.95,283.921944444444
2021-08-23,2,1.28222222222222,21.89,48.8,17.0719237435009,784.33,43.0158333333333
2021-08-24,1,1,22.85,34.3,22.85,5219.8,284.921944444444
2021-08-28,2,1.05277777777778,19.53,42.4,18.5509234828496,803.86,44.0686111111111
2021-09-04,1,1.00694444444444,18.57,42.4,18.4419310344828,5238.37,285.928888888889
2021-09-05,2,1.85166666666667,21.44,38.4,11.5787578757876,825.3,45.9202777777778
2021-09-06,2,1.45944444444444,22.49,42.6,15.4099733536354,847.79,47.3797222222222
2021-09-09,2,1.665,29.33,53.4,17.6156156156156,877.12,49.0447222222222
2021-09-10,2,0.411388888888889,7.04,53.4,17.1127616475354,884.16,49.4561111111111
2021-09-11,2,1.86194444444444,31.16,46.5,16.735193197076,915.32,51.3180555555555
2021-09-13,0,1.15083333333333,19.37,48.7,16.8312816799421,,
2021-09-15,2,0.595833333333333,10.81,40.7,18.1426573426574,926.13,51.9138888888889
2021-09-17,2,1.61805555555556,30,49,18.5407725321888,956.13,53.5319444444444
2021-09-18,1,1.09444444444444,25.44,52.2,23.2446700507615,5263.81,287.023333333333
2021-09-20,2,1.30694444444444,23.79,40.3,18.2027630180659,979.92,54.8388888888889
2021-09-21,2,1.18722222222222,20.38,50.5,17.1661207299954,1000.3,56.0261111111111
2021-09-22,2,1.23333333333333,24.88,51.7,20.172972972973,1025.18,57.2594444444444
2021-09-23,2,0.927777777777778,17.58,42.7,18.948502994012,1042.76,58.1872222222222
2021-09-24,2,1.04027777777778,17.4,49.8,16.7263017356475,1060.16,59.2275
2021-09-25,2,1.06666666666667,20.76,46.2,19.4624999999999,1080.92,60.2941666666666
